Symbol,Observations,Observed Price,3-Month Mean,Z-Score,Action
CHRW,63,103.61000061035156,92.12863667805989,0.03336829515367305,hold
CDNS,63,256.2799987792969,288.1263488285125,-0.007433275090412142,hold
CZR,63,36.29999923706055,36.985714322044736,-0.03788214733686993,hold
CPT,63,126.58000183105469,113.28411683582124,0.04540650180652761,hold
CPB,63,51.349998474121094,46.68590666755797,0.09301949550833455,hold
COF,63,145.6199951171875,139.63001844618054,0.025940082685389897,hold
CAH,63,114.62000274658203,101.14131430974082,0.05577352699277859,hold
KMX,63,83.04000091552734,77.16285705566406,0.026346907402279678,hold
CCL,63,16.344999313354492,16.695476244366358,-0.025986206366245636,hold
CARR,63,70.04000091552734,65.79993178352477,0.061746446724274096,hold
CTLT,63,60.70100021362305,57.95287298777747,0.12208040554981239,hold
CAT,63,340.30999755859375,335.8835042317708,0.0048340608916627795,hold
CBOE,63,211.83999633789062,185.48174661303324,0.013910100333554045,hold
CBRE,63,115.6500015258789,99.88238101535373,0.01587358440623457,hold
CDW,63,217.6699981689453,222.87682039775547,-0.012372361783484765,hold
CE,63,125.23999786376953,135.25462656172496,-0.03146837607852389,hold
COR,63,243.6999969482422,232.25757465665302,0.029562367232038814,hold
CNC,63,80.22000122070312,71.64920685783265,0.04212823071753445,hold
CNP,63,27.479999542236328,28.528017922053262,-0.03986661433258696,hold
CF,63,79.11000061035156,75.29806797088139,0.02907103449004178,hold
CRL,63,192.08999633789062,211.78396897088913,-0.015816461189832723,hold
SCHW,63,64.80999755859375,68.29524370223757,-0.018764427112716926,hold
CHTR,63,346.4200134277344,323.0577789791047,0.002522643046419113,hold
CVX,63,144.6490020751953,151.21783859010728,-0.03219225727308689,hold
CMG,63,53.525001525878906,57.55762542240203,-0.019846690255478073,hold
CB,63,286.6700134277344,266.25013272724453,0.042535661462799204,hold
CHD,63,105.29000091552734,103.20296005975632,0.028681430868909473,hold
CI,63,365.5050048828125,338.51150803338913,0.03806435280762381,hold
CINF,63,137.57000732421875,123.0786601475307,0.03341153544566939,hold
CTAS,63,799.4000244140625,736.6874728732639,0.005888567295299316,hold
CSCO,63,50.060001373291016,47.22273956783234,0.1146435553774124,hold
C,63,61.439998626708984,61.68216826423766,-0.004573329310867434,hold
CFG,63,42.67499923706055,38.410278380863254,0.04820939610422778,hold
CLX,63,161.16000366210938,138.48851255386595,0.03903129152376451,hold
CME,63,212.63999938964844,200.9178193107484,0.040313939361043466,hold
CMS,63,68.68499755859375,62.53621243673658,0.06889815107157365,hold
KO,63,73.01000213623047,66.03621352665009,0.09272923965907189,hold
CTSH,63,76.7699966430664,71.47862982371497,0.03866676251200808,hold
CL,63,107.76000213623047,98.96870458693732,0.0748109766656871,hold
CMCSA,63,39.5,38.8839116172185,0.06748888482981888,hold
CAG,63,31.920000076293945,29.444063701326886,0.2547008218655734,sell
COP,63,109.86000061035156,111.00571974496992,-0.022859128054627493,hold
ED,63,103.25499725341797,94.57420663984995,0.04399677929230896,hold
STZ,63,246.86000061035156,248.38652740962922,-0.0035674089189106006,hold
CEG,63,177.77999877929688,197.75170632014198,-0.010444253452383707,hold
COO,63,106.05999755859375,92.29126993815105,0.10144635418347157,hold
CPRT,63,53.52000045776367,52.82809539068313,0.0377017872912238,hold
GLW,63,40.685001373291016,40.42137079390268,0.004709387717858995,hold
CPAY,63,314.3599853515625,279.84603348989333,0.01552478900560413,hold
CTVA,63,55.58000183105469,53.41031749664791,0.09718015044897516,hold
CSGP,63,75.93000030517578,75.22031705341642,0.02550053414724683,hold
COST,63,878.5700073242188,852.8365991985987,0.00563716965365834,hold
CTRA,63,23.920000076293945,25.661755304487926,-0.11167856146187496,hold
CRWD,63,266.6000061035156,313.7794441344246,-0.0015080058614138421,hold
CCI,63,113.42500305175781,104.50651235429068,0.02777521027852945,hold
CSX,63,34.58000183105469,33.50721050444103,0.248212106232756,sell
CMI,63,304.0950012207031,285.61906069800966,0.01304558145546294,hold
CVS,63,57.369998931884766,58.6374761187841,-0.06195321601398915,hold
DHR,63,264.2250061035156,260.3016270228795,0.003955955460016307,hold
DRI,63,158.31500244140625,147.11244250100756,0.05093462128573555,hold
DVA,63,152.0,142.65365213061136,0.03795611680316184,hold
DAY,63,55.560001373291016,52.77555568634518,0.046329778073168515,hold
DECK,63,899.1400146484375,944.3025406125992,-0.001576962335324609,hold
DE,63,385.6600036621094,369.09605916341144,0.015065387413335855,hold
DAL,63,42.375,44.37864000835116,-0.01619963922053234,hold
DVN,63,43.029998779296875,45.82620069715712,-0.15230987610048016,buy
DXCM,63,72.36000061035156,95.55111100938585,-0.006511939397030245,hold
FANG,63,187.47999572753906,195.2963407001798,-0.02594200831349252,hold
DLR,63,149.79299926757812,150.43611944289435,-0.0059138653309655865,hold
DFS,63,138.17999267578125,130.88021499391587,0.019991951275548345,hold
DG,63,83.76000213623047,122.49516696021671,-0.0508327414780902,hold
DLTR,63,81.6500015258789,102.56444476899647,-0.05330759023649897,hold
D,63,56.73500061035156,51.97188955640036,0.08561258245911263,hold
DPZ,63,403.6499938964844,465.5275045727927,-0.00395307116411153,hold
DOV,63,180.16000366210938,179.9428904699901,0.0017346238297850397,hold
DOW,63,51.93000030517578,52.94363136897012,-0.08407501843221178,hold
DHI,63,184.52000427246094,161.63748847113715,0.007882153163070865,hold
DTE,63,125.5199966430664,116.58311971028645,0.03890538481357819,hold
DUK,63,115.80000305175781,106.15904078407893,0.04055763644562796,hold
DD,63,82.11000061035156,79.87481980096726,0.14553138329960313,hold
EMN,63,100.31999969482422,98.45188891698443,0.03642560130006378,hold
ETN,63,289.7099914550781,307.4132535419767,-0.010278460951982113,hold
EBAY,63,58.79999923706055,54.64461099533808,0.13236958858058462,hold
ECL,63,247.97000122070312,241.48832411993118,0.033615993831448254,hold
EIX,63,87.33000183105469,77.20430137997582,0.043826581783394485,hold
EW,63,68.75,78.96095215328155,-0.00891513802202046,hold
EA,63,146.22999572753906,143.28670441158235,0.016328293519218544,hold
ELV,63,562.260009765625,533.6437445746528,0.02438253713999719,hold
EMR,63,102.05500030517578,108.50128621903677,-0.03554967380425382,hold
ENPH,63,112.91000366210938,113.57380954802983,-0.0008610076507122597,hold
ETR,63,122.16999816894531,111.4514885554238,0.041142329538302984,hold
EOG,63,123.5999984741211,125.0768553718688,-0.0144108000492218,hold
EPAM,63,195.1999969482422,194.0758737231058,0.0008662756090745934,hold
EQT,63,32.91999816894531,35.37331677996923,-0.03466390470830876,hold
EFX,63,302.5400085449219,264.97698465983075,0.007894601261462252,hold
EQIX,63,832.1500244140625,784.7105422247024,0.006977769995735574,hold
